Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"1199 SEIU PO BOX 2612 NY, NY 10108","1,000.00",24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"1199 SEIU NYS PAF PO BOX 2612 NY, NY 10108","1,000.00",27-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"2468 GROUP 295 MAIN STREET BUFFALO, NY 14203",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"88 WEST CHIPPEWA INC 225 DELAWARE AVENUE BUFFALO, NY 14202",100.00,02-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,B,City Council,N/A
"ACCURATE ADJUSTERS OF WNY 26 DELAWARE ST TONAWANDA, NY 14150",25.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"ACROPOLIS 708 ELMWOOD BUFFALO, NY 14222",250.00,08-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"AFSCME 1625 L STREET WASHINGTON, DC 20036","1,000.00",26-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"ASBESTOS WORKERS LOCAL 4 976-B UNION ROAD WEST SENECA, NY 14221",100.00,24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"ASFCME LOCAL 650 65 NIARAGE SQUARE BUFFALO, NY 14202",100.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"BELVEDERE HOME IMPROVEMENT CO. 534 COLVIN BUFFALO, NY 14216",100.00,25-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,B,City Council,N/A
"BLDG. AND CONST. TRADES COUNCIL 198 TIM TAM TRAIL WEST SENECA, NY 14224",500.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"BLUE OCEAN PARTNERS 90 BRYANT WOODS SOUTH AMHERST, NY 2366","1,000.00",15-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"BRICKLAYERS AND ALLIED CRAFTWORKERS 3750 MONROE AVENUE PITTSFORD, NY 14534",150.00,10-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"BRICKLAYERS AND ALLIED CRAFTWORKERS 3750 MONROE AVENUE PITTSFORD, NY 14534",500.00,02-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,C,City Council,N/A
"BTC BLOCK 1/21 INC UNIVERSITY CORPORATE CENTER 100 CORPORAT AMHERST, NY 14226",250.00,03-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"BTC BLOCK 1/21 INC 128 AMHERST, NY 14226",128.00,04-JUN-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,B,City Council,N/A
"BTF PAC 271 PORTER AVENUE BUFFALO, NY 14201",150.00,15-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"BTF PAC 271 PORTER BUFFALO, NY 14201",250.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,C,City Council,N/A
"BTF PAC 271 PORTER AVE BUFFALO, NY 14201",100.00,31-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,C,City Council,N/A
"BTF POLITICAL ACTION COMMITTEE 271 PORTER AVE BUFFALO, NY 14201",500.00,20-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"BUFALO FIRE FIGHTERS LOCAL 282 255 DELAWARE AVE BUFFALO, NY 14202",300.00,08-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"BUFFALO DISTRICT COIUNCIL NO. 35 AFSCME 120 DELAWARE AVE STE. 428 BUFFALO, NY 14202",500.00,09-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"BUFFALO DISTRICT COUNCIL NO 35 AFSCME 120 DELAWARE BUFFALO, NY 14202","1,000.00",19-AUG-11,FRIENDS OF MIKE LOCURTO,2011 32 Pre General,B,City Council,N/A
"BUFFALO DISTRICT COUNCIL NO. 35 AFSCME 120 DELEWARE AVENUE SUITE 428 BUFFALO, NY 14202","1,000.00",25-SEP-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre General,C,City Council,N/A
